ID,Price,Condition,Brand,Model,Edition,Operating System,Memory,Network,SIM Support,RAM,No. of Camera,Screen Size,Battery,Processor,Item type,Features,Description
1,15000,Used,Apple,iPhone 6S,Apple,iOS,64 GB,4G,Single SIM,,,,,,,"Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port",hodatma thiyenawa | new bettry | original display | no errors | ex ok
2,356500,Used,Apple,iPhone 16 Pro Max,1TB,iOS,,5G,,12 GB,Triple,Above 6 inches,6000 mAh,,,"USB Type-C Port, Fast Charging, Bluetooth, Wifi, GPS","🚨 Brand New iPhone 16 Pro Max – Desert Titanium 🌵✨ – 1TB 🔥 (Import Phone) ✈️ | 🔹 Model: iPhone 16 Pro Max | 🔹 Storage: 1TB | 🔹 Color: Desert Titanium 🌵✨ | 🔹 Condition: Brand New ✅ | 🔹 Battery Health: 100% 🔋 | 🔹 Battery Cycle Count: 120 🔄 | 🔹 AppleCare: Active (me month eke iwara wenawa) | 🔹 Box & Accessories: Full Set Box 🎁 | 🔹 Origin: Japan 🇯🇵 | 🔹 Exchange: ❌ No Exchange | ⸻ | 💎 Highlights: | •	Import phone, never used, perfect condition ✨ | •	All functions working perfectly ✔️ | •	Face ID, Camera, Display – 100% flawless 📸🖥️ | 💰 Price: LKR 355,000 💸 | 📞 Contact:"
3,56000,Used,Apple,iPhone 11,,iOS,128 GB,5G,Dual SIM,4 GB,Dual,5.1 to 6 inches,4000 mAh,,,,battery health 88%🔋
4,313999,Used,Apple,iPhone 17 Pro,256 GB,,,,,,,,,,,"USB Type-C Port, Fast Charging, Flash Charging, Expandable Memory, Wifi, GPS, Infrared port",I phone 17 pro | 256 | E-sim | No errors | No replacement | Bh 100 ( original ) | Full set same imi box | Warranty Avilable | More any details call me 🤙
5,16000,Used,Apple,iPhone 7 Plus,Apple,iOS,128 GB,4G,Single SIM,4 GB,Dual,4 to 5 inches,5000 mAh,,,"USB Type-B Port, Bluetooth, Wifi, GPS, Fingerprint Sensor",Phone only | 128Gb | Rose Gold | Glass creak | Batry health 63% | Finger print 100%
6,125000,Used,Apple,iPhone 13 Pro Max,128GB Blue,iOS,128 GB,5G,Dual SIM,8 GB,Triple,,,,,"Fast Charging, Bluetooth, Wifi, GPS",Iphone 13 Pro Max 128gb | 100% Cheese Conditions | Superb Battery Life | 83% Battery Health | Original Display And Battery | Face ID 100% Working | 100% Genuine Unit | No Hidden Errors | Sale Only | Price:- 125000/- | Location- Kalutara | Thankyou
7,50000,Used,Apple,iPhone 11,iPhone 11,iOS,64 GB,,,,,,,,,,iPhone 11 | 64GB Capacity | 70% Battery Health | No Errors | All Original Parts | No Replacement | No Scratches | Price negotiable | Only display changed
8,18000,Used,Apple,iPhone 8,Apple,iOS,64 GB,4G,Single SIM,2 GB,Triple,4 to 5 inches,,,,"Bluetooth, Wifi, GPS, Fingerprint Sensor",Original Display... | All sensors Working perfect | Fingerprint  work | Phone & Charger | Last price
9,360000,Used,Apple,iPhone 17 Pro,256GB,iOS,256 GB,5G,Dual VoLTE,,Triple,5.1 to 6 inches,5000 mAh,,,"USB Type-C Port, Fast Charging, Flash Charging, Bluetooth, Wifi, GPS",17 pro | 256gb | Silver | Full set box | Brand new
10,60000,Used,Apple,iPhone 11 Pro,,iOS,256 GB,4G,Dual SIM,,,,,,,"Flash Charging, Bluetooth, Wifi, GPS",IPHONE 11 PRO | HOUSING GOOD CONDITION | Back tap💯 | Face id💯 | True tone💯 | Orginal display | Storage : 256
11,65500,Used,Apple,iPhone 12,,iOS,,,,,,,,,,"Fast Charging, Bluetooth, Wifi, GPS",⭕️ I phone 12 64GB | Battry Health 100% ✅ | Face id 100% work ✅ | True Tone 100% ✅💯 | No any errors | Price - (can be negotiate👍🏻) | Girl used phone 😁 | Best Condition 📌 | Location - Kaduwela | Call for more details
12,41000,Used,Apple,iPhone XS Max,64GB /256GB,iOS,,,,,Dual,,,,,Fast Charging,IPhone XS max 64GB | 41000/= | Same Imei box | Face ID ✔️ | True tone ✔️ | Condition 100% | Original battery helth 97 | Battery replace | 3utool report✔ | all sensors working perfectly 100% | All original parts | Location Yakkala / Nittambuwa | kalagedihena
13,84500,Used,Apple,iPhone 13 Pro Max,,iOS,256 GB,5G,,,Triple,,,,,Fast Charging,iPhone 13 Pro max | More details call me | Urgent sale Low
14,120000,Used,Apple,iPhone 14,128GB,iOS,128 GB,5G,Single SIM,4 GB,Dual,4 to 5 inches,5000 mAh,,,,"ලෙඩ නැති , ගලවපු නැති හොද ෆොන්  එකක් අවශ්‍ය හොයන කෙනෙක් ඉන්නවානම් ගන්න | iPhone 14 128 GB | White | Phone Cable Only | 3u Report Attached | No Errors | No Damage | Mint Condition | Ex ok with iphone 14 pro max"
15,11000,Used,Apple,iPhone 7,IPHONE 7,,256 GB,,,,,,,,,,IPHONE 7 | 256GB | 💯 CONDITION | PHONE ONLY
16,52000,Used,Apple,iPhone 11,64GB,iOS,64 GB,4G,Dual SIM,3 GB,Dual,,4000 mAh,,,"Fast Charging, Bluetooth, Wifi, GPS",Brand new condition | Not used Sri Lanka | Iphone 11 /64GB white | All are original parts | Truetone and all functions working | Dual sim | Esim 4G | Same imei box | Call for more details
17,42000,Used,Apple,iPhone XS,,,,4G,,,,,,,,,Iphone XS | 64GB Memory | Battery Health 74% Original | Face ID Working | True Tone Working | Front Camera Need to be Replaced | Phone & Box Only (Not Full Set) | පොළොන්නරුව නගරයට පැමිණ පරික්ෂා කර බලා මිලදී ගත හැක. | No Exchange | මුදල් ගෙවා මිලදී ගැනීමට අදහස් කරන්නේ නම් පමණක් whatsapp පණිවිඩයක් යොමු කරන්න.
18,49000,Used,Apple,iPhone 11,128GB,iOS,128 GB,4G,Single SIM,,,,,,,,"📱 Apple iPhone 11 128GB (Used) | - Battery Health 100% (replaced) | - Face ID 100% Working | - Display replaced | - Storage: 128GB | - Colour: 🟢 Green | - No issues. In 100% good condition | - Location: Matara | ⚠️ Note: | - Back glass has a crack (cosmetic only, no effect on usage) | - After powering on, the touch screen may not respond at first. Restarting the phone 5–6 times fixes the issue, and once it starts working, the touch functions perfectly with no further problems until the phone is powered off again. This issue started after updating to iOS 26.2. Before the update, the phone had no such issue."
19,26000,Used,Apple,iPhone 8,,iOS,256 GB,,Single SIM,,Dual,,,,,,Iphone 8 | Batry riplace 💯 | Orjinel display | Finger print 💯
20,37500,Used,Apple,iPhone XS,,,,,,,,,,,,,Battery 77% | All original | 256GB | Akurana
21,100000,Used,Apple,iPhone 14 Plus,,iOS,256 GB,5G,Dual SIM,,Dual,,,,,,iPhone 14 Plus | 256gb | 77% battery health | Full set box (same imei)
22,40000,Used,Apple,iPhone 11,Apple,iOS,128 GB,4G,Single SIM,,,,,,,,⭕️signal පොඩි කේස් එකක් තියනවා | ⭕️Disply එකෙ ඉරි දෙකක් ගිහින් තියෙන්නෙ | ⭕️battry 74% | ⭕️4n only
23,49990,Used,Apple,iPhone XS,256GB,,,,,,,,,,,,"📢📢📢𝐓𝐡𝐞𝐬𝐞 𝐩𝐫𝐢𝐜𝐞𝐬 𝐦𝐚𝐲 𝐜𝐡𝐚𝐧𝐠𝐞 𝐚𝐭 𝐚𝐧𝐲 𝐠𝐢𝐯𝐞𝐧 𝐦𝐨𝐦𝐞𝐧𝐭 𝐝𝐞𝐩𝐞𝐧𝐝𝐢𝐧𝐠 𝐨𝐧 𝐭𝐡𝐞 𝐜𝐮𝐫𝐫𝐞𝐧𝐜𝐲 𝐩𝐫𝐨𝐛𝐥𝐞𝐦 𝐩𝐫𝐞𝐯𝐚𝐢𝐥𝐢𝐧𝐠 𝐢𝐧 𝐭𝐡𝐞 𝐜𝐨𝐮𝐧𝐭𝐫𝐲📢📢📢 | 📢📢📢රටේ පවතින මුදල් ගැටලුව මත මෙම මිල ගණන් ඕනෑම මොහොතක වෙනස් විය හැක📢📢📢 | 🔹🔹🔹 NEW YEAR SEASON OFFER 🔹🔹🔹 | 1 MONTH 1 To 1 Replacement Warranty And #LIFETIME SOFTWERE & SEVICES STYLE FIX POWER WARRANTY | 📣 මහරගම නගරයේ වසර 15ක විශ්වාසය දිනාගනිමින්,ලංකාවේ ප්‍රථම වතාවට 𝙇𝙄𝙁𝙀𝙏𝙄𝙈𝙀 𝙎𝙊𝙁𝙏𝙒𝘼𝙍𝙀 & 𝙎𝙀𝙍𝙑𝙄𝘾𝙀𝙎 𝙒𝘼𝙍𝙍𝘼𝙉𝙏𝙔 ̲ ලබා දෙන්නේ අප පමණි. තරඟකාරී අවම මිල ගණන් යටතේ ඔබට සියලුම වර්ගයේ ජංගම දුරකථන දැන් ඔබට වට්ටම් සහිතව සිදුකරගත ගත හැක .📣 | 📣 දිවයිනේ ප්‍රතම වතාවට LIFETIME SOFTWARE WARRENTY 📣 | 📣 යුරෝපයෙන් ආනයනය කරන ලද 💯 හොදම තත්වයේ දුරකතන 📱 | 📣STYLE MOBILE MAHARAGAMA ශාකාවේ 5 වෙනි සංවත්සරය නිමිත්තෙන් දිවයිනේ අඩුම මිල සහතිකය හා වැඩිම වගකීම් කාල සීමාව සමගින් නවතම කාර්යමණ්ඩලයත් සමගින් පෙරටත් වඩා පාරිභෝගික සේවාව අපි ඔබට පිරිනමන්නෙමු. 📣 | 🔵🔵🔵 APPLE IPHONE XS 256GB OFFER4511 | NEW STOCK | 256GB ROM | ABOVE 85% BATTERY HEALTH | 1 MONTH 1 TO 1 REPLACEMENT WARRENTY + LIFETIME SERVICE & SOFTWERE WARRENTY 🔵🔵🔵 | 𝗡𝗢𝗧𝗘 - මෙම දුරකතන කිසිවක් ලංකාවේ EXCHANGED කරන ලද දුරකතන නොවන බව හා 100% යුරෝපයෙන් (UK ,USA) ආනයනය කරන ලද දුරකතන බව සලකන්න. | 100% IMPORTED | 100% BRANDNEW CONDITION | 100% ORIGINAL | BATTERY, DISPLAY, HOUSING 100% ORIGINAL. NO ANY REPLACEMET. | ##- අප විසින් අලෙවි කරනු ලබන්නේ Display සහ housing මාරු කර නැති ප්‍රමිතියෙන් උසස් ජංගම දුරකථන වේ. -## | ### APPLE IPHONE XS 256GB ### | ORIGINAL BATTERY HEALTH 75% | GOOD CONDITION UNIT (1 WEEK WARRANTY) | 49990/= | BATTERY HEALTH 94% | LITE USED CONDITION UNIT (1 WEEK WARRANTY) | 54990/= | ORIGINAL BATTERY 88% | A++ CONDITION UNIT(1 WEEK WARRENTY) | 56990/= | A++ CONDITION UNIT(1 MONTH WARRENTY) | 57990/= | (Condition Apply) | (Price can be go up&down day by day .please call us to get special discount price today ) | 📢📢📢𝐓𝐡𝐞𝐬𝐞 𝐩𝐫𝐢𝐜𝐞𝐬 𝐦𝐚𝐲 𝐜𝐡𝐚𝐧𝐠𝐞 𝐚𝐭 𝐚𝐧𝐲 𝐠𝐢𝐯𝐞𝐧 𝐦𝐨𝐦𝐞𝐧𝐭 𝐝𝐞𝐩𝐞𝐧𝐝𝐢𝐧𝐠 𝐨𝐧 𝐭𝐡𝐞 𝐜𝐮𝐫𝐫𝐞𝐧𝐜𝐲 𝐩𝐫𝐨𝐛𝐥𝐞𝐦 𝐩𝐫𝐞𝐯𝐚𝐢𝐥𝐢𝐧𝐠 𝐢𝐧 𝐭𝐡𝐞 𝐜𝐨𝐮𝐧𝐭𝐫𝐲📢📢📢 | 📢📢📢රටේ පවතින මුදල් ගැටලුව මත මෙම මිල ගණන් ඕනෑම මොහොතක වෙනස් විය හැක📢📢📢 | 👍 We accept credit card and debit card payments. 👍 | ⏱ 12 Month installment plan available for credit card holders.(CONDITION APPLY) | 𝙉𝙊𝙏𝙀 :-* 𝘼𝙡𝙡 𝙤𝙪𝙧 𝙥𝙧𝙤𝙙𝙪𝙘𝙩𝙨 𝙖𝙧𝙚 👌 100% 👌 𝘽𝙧𝙖𝙣𝙙-𝙉𝙚𝙬 𝙊𝙧𝙞𝙜𝙞𝙣𝙖𝙡. 𝙒𝙚 𝘿𝙊 𝙉𝙊𝙏 𝙨𝙚𝙡𝙡 𝙧𝙚𝙛𝙪𝙧𝙗𝙞𝙨𝙝𝙚𝙙 𝙤𝙧 𝙛𝙖𝙠𝙚 𝙥𝙧𝙤𝙙𝙪𝙘𝙩𝙨 𝙖𝙩 𝙤𝙪𝙧 𝙤𝙪𝙩𝙡𝙚𝙩. | (ඔබ කොළඹ නගරය තුළ සිටින අයෙකු නම්, පැය 3ක් වැනි කෙටි කාලයක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැකි අතර එය ලැබුණු පසුව ගෙවීම් කළ හැක. | ඔබ ශ්රී ලංකාවේ වෙනත් ප්රදේශයක සිටින අයෙකු නම් පැය 24ක් තුළදී භාණ්ඩය ඔබ වෙත ගෙන්වා ගත හැක.) | 𝙈𝘼𝙄𝙉 𝘽𝙍𝘼𝙉𝘾𝙃 - | "" 𝙎𝙩𝙮𝙡𝙚 𝙈𝙤𝙗𝙞𝙡𝙚 "" | 𝙉𝙊, 8 , 𝙋𝙄𝙇𝙄𝙔𝘼𝙉𝘿𝘼𝙇𝘼 𝙍𝙊𝘼𝘿, | 𝙈𝘼𝙃𝘼𝙍𝘼𝙂𝘼𝙈𝘼. | ( රොනිකෝ GRINDING MILLS , රන්ජනී SALOON , නවරත්න ෆාමසි , යාබද BUILDING , OPPOSIT පන්නිපිටිය උකස්කරුවෝ ) | 📢මෙම විශේෂ දීමනාව තොග අවසන් වනතුරු පමණයි. | 📢මෙම දීමනා මිලදී ගැනිමෙදි මෙම post එක ඉදිරිපත් කරන්න."
24,35000,Used,Apple,iPhone SE 2,,iOS,128 GB,5G,,4 GB,,,,,,,All original parts | can exchange | 128 | BH 84 | what's app me
25,108000,Used,Apple,iPhone 13 Pro,256GB,iOS,256 GB,5G,,,Triple,,,,,,iPhone 13 Pro | Alpine green | Storage 256GB | Battery health 80 | All parts original | Display replaced from another 13 Pro(Original) | Face ID truetone working💯 | Fullsetbox available with covers | No errors | Call or WhatsApp
26,24000,Used,Apple,iPhone X,,,,,,,,,,,,,256GB | Battery 💯 | Face ID error
27,190000,Used,Apple,iPhone 14 Pro Max,256GB,iOS,256 GB,5G,,6 GB,Triple,Above 6 inches,,,,"Fast Charging, Expandable Memory, Bluetooth, Wifi, GPS",Full set with Same EMI box | TRCSL APPROVED | No any issues | All sensors & functions fully worked | No any replacements
28,120000,Used,Apple,iPhone 12 Pro,,iOS,,,,,,,,,,,512 GB ROM | 100 battery health | urgent selling | contact via WhatsApp
29,55000,Used,Apple,iPhone 12 mini,Apple,,128 GB,5G,,,,,,,,,කිසිම අවුලක් නෑ ඔකොම ඔරිජිනල් කෑල්ලක් වත් ගලවලා නැ 128 gb
30,17500,Used,Apple,iPhone 6S,32GB,iOS,32 GB,4G,Single SIM,16 GB,Dual,5.1 to 6 inches,4000 mAh,Kirin,,"Fast Charging, Flash Charging, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port",Good phone | Adupadu mukuth na | Batry helth 100/100 | Mila venasak karala denava | You tube | Whatse app siyalla vada
31,158000,Used,Apple,iPhone 15 Plus,128GB,iOS,,5G,,,Dual,,,,,,"✨ **AJ MOBILE** ✨ | 📱 ** I phone 15  Plus ** | 🔹 6GB RAM | 🔹128GB/256GBStorage | 🔹 5G Network | 🔹 6.7"" Display | 🔹 📸 48 ( 1.6 , 26mm )MPRear camera | 🔹 🤳 12MP ( 1.9 ,23mm )front camera | 🔹 🔋 4383 mAh Battery | ♻️👉🏼 ( Condition) මත මිල වෙනස් වේ ) ☑️ | 💳 Card Payment Accepted | 🚛 Delivery Available | 💥 **කිසිවෙකුටත් සමකල නොහැකි පූර්ණ වගකීමත් සමග!** | ⚡️✅ 1 Month Hardware Warranty. | ⚡️✅ Phone to Phone 2 Week Warranty. | ⚡️✅ 1 Year Software Warranty | ⚠️ *මෙම සුවිශේෂී දීමනාව සීමිත කාලයකට පමණි!* | --- | 📢 **සැලකිය යුතුයි!** | 👉 ඔබ සොයන්නේ අඩු මිලට අඩු ගුණාත්මකභාවයක්ද? | නැත්නම් 💎 සාධාරණ මිලකට උසස් තත්ත්වයේ දුරකතනයක්ද? | 🛑 වෙලදපොලේ “Refurbished” දුරකතන වලට අහුවෙන්න එපා! | අප වෙතින් ලැබෙන සියලු දුරකතන | 🔹 නිෂ්පාදන සමාගම් විසින් සහතික කළ | 🔹 කිසිදු අලුත් වැඩියාවකට ලක් නොවූ | 🔹 උසස් තත්ත්වයේ අලුත් දුරකතන වේ. | 💰 අඩු මිලට බාල, ව්‍යාජ දුරකතන වලට ඔබගේ මුදල් වැය නොකර | 📲 **නියම තත්ත්වයේ හොඳම දුරකතන ලබාගන්න!** | ලංකාවේ හොඳම මිල හා අසමසම වගකීම අප වෙතින් පමණි! | --- | 💼 **තොග ගැණුම් කරුවන්ට විශේෂ වට්ටම්!** | 📍 **AJ MOBILE Branches** | 🏬 Kurunegala Branch — | 🏬 Kegalle Branch — | 🇰🇷 Korea Branch — | 📱 WhatsApp | Messenger | IMO | Viber | KakaoTalk | --- | ✨ **AJ MOBILE — ඔබට වඩාත් විශ්වාස කළ හැකි ස්ථානය!** ✨"
32,55000,Used,Apple,iPhone 11,,iOS,128 GB,5G,Single SIM,2 GB,Dual,,4000 mAh,,,"USB Type-C Port, Bluetooth, Wifi, Fingerprint Sensor","Good condition. | Original display, battery, etc. | Good battery life. | Good camera. | Only phone."
33,27000,Used,Apple,iPhone SE 2,Apple,iOS,64 GB,4G,Dual SIM,3 GB,,Below 4 inches,4000 mAh,Snapdragon,,,Phone good condition | Bh 77% | No any errors | 100% original parts | No exchange | Cash only
34,75000,Used,Apple,iPhone 12,,iOS,128 GB,5G,Single SIM,4 GB,,,,,,"Fast Charging, Bluetooth, Wifi, GPS",i phone 12 | 128 GB | BH 87 | Good condition 💯 | Two back covers sv | Camara rings sv
35,160000,Used,Apple,iPhone 14 Pro,128GB,iOS,128 GB,5G,Dual SIM,,Triple,,,,,,iPhone 14 Pro 128GB - Deep Purple ZP/A version | *   Brand new condition | *   Same IMEI box | *   No dents or scratches | *   Full box set with original cable & documents | *   Original battery | *   Original display (True Tone available) | *   Face ID working 100% | *   Never opened or repaired - fully original | *   No hidden issues | *   Battery health: 83% (lasts a full day or more) | *   Apple sticker available | *   First owner | *   ID can be provided | Price negotiable open for offers | Call for more details
36,99500,Used,Apple,iPhone 12 Pro,256GB,iOS,256 GB,5G,Dual SIM,,Triple,,,,,"Fast Charging, Bluetooth, Wifi, GPS",Iphone 12 pro | Storage 256gb | Battery 95% | Mint Condition 🧀 | Exchange ok | Gold and Black Available
37,69000,Used,Apple,iPhone 12 Pro Max,,iOS,128 GB,,Dual SIM,,Triple,,,,,Fast Charging,▪️Phone only | ▪️Original Batri Health (81%) | ▪️There are a few lines on the display but still    can use. | ▪️All Parts Original | ▪️Condition (100%) | ▪️Used in UK | ▪️contact - | 📍- matara
38,38000,Used,Apple,iPhone X,,iOS,256 GB,4G,Single SIM,3 GB,Dual,,,,,,කිසිම අව්ලක් නෑ හොදටම තියනවා | Battery health eka 77%
39,159500,Used,Apple,iPhone 14 Pro,,iOS,256 GB,,,,,,,,,,iPhone 14 Pro | Silver | 256gb | 76% battery health | All original parts | Mint condition
40,240000,Used,Apple,iPhone Air,,iOS,,,,,,,,,,USB Type-C Port,* Model: iPhone Air | * Capacity: 256GB | * Color: Sky Blue | * Model No: MG2A4J/A | * Serial Number: HOC4N33563 | * Network Usage Restrictions: (No SIM Lock) | * Maximum Battery Capacity: 100% | * Cycle Count: 28 | * Accessories: Cable only | * Condition: Like New
41,92499,Used,Apple,iPhone 13,128GB,iOS,128 GB,5G,Dual SIM,,Quad,Above 6 inches,,,,"USB Type-B Port, USB Type-C Port, Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port","🕰Special OFFER , | Iphone 13 128GB , Genuine Apple adapter , genuine Cable , genuine tempered , Silicon back Cover , All with Just 104000/= Only | Get Your New Model Apple 🍎 I Phone 13 128GB | Special Discount Price and Up to 25% Discount For Accessories 🤩🤩🤩 Hurry Up Limited Stocks Available..... | 💥KOKO PAYMENTS AVAILABLE | 🔷 ONE YEAR SOFTWARE WARRANTY | 🔷 GENUINE PRODUCTS | 🔷 ORGINAL SEAL PACK | 🔷CARD PAYMENT  ACCEPTED | 🔷 Instalment Plan for Selected Credit Card   Holders.. | 6 Months | 12 Months | 24 Months Available | ඔබගේ 🍎 Apple I Phone 13 128GB ලබාගන්න... | වට්ටම් සහිත විශේෂ මිල  සහ අමතර උපාංග සදහා 25% වට්ටමක් | 🤩🤩🤩 | තොග සීමිතයි ‼️ඉක්මන් කරන්න.......... | 🔷  අවුරුද්දක වගකීම | 🔷 කාඩ්පත් වලින් ගෙවීම් ක්‍රමය | 🔷 පහසු ගෙවීමේ | තෝරාගත් ණය කාඩ්පත් (Credit Card)  වලට, | *මාස -6 | *මාස -12 | *මාස -24 | 🏬අංක, 250/1/43, පළමු මහල, Liberty Plaza, Colombo 03. | 🚚බෙදාහැරීමේ පහසුකම්"
42,69000,Used,Apple,iPhone 11,2019,iOS,128 GB,4G,Dual SIM,4 GB,Dual,5.1 to 6 inches,5000 mAh,,,,iPhone 11 | 128 Gb | 🔋Orginal Battery 85% (brand new condition) | 📱Full set | 🍏Face ID 100% | 🍏Trutone 100% | ✅98% Condition | ✅Location - Kalmunai Area
43,30000,Used,Apple,iPhone SE 2,SE 2,iOS,128 GB,,,,,,,,,,Hodatama thiyenwa ikmanata denawa  ekt cll krnn thiyena number eke whats app vitharai wada
44,75000,Used,Apple,iPhone 11 Pro,iphone 11 pro 256GB,iOS,256 GB,4G,Single SIM,4 GB,Triple,5.1 to 6 inches,4000 mAh,,,"Fast Charging, Bluetooth, Wifi, GPS",Iphone 11 pro | Only battery replaced new | 256gb | Perfect condition | Midnight green | All orginal parts only battery replaced
45,36000,Used,Apple,iPhone SE 2,,,,,,,,,,,,,Se2 | 128Gb | Japan use | Battery gralth -100/86 | ex ok | cheese condition | මුදල් හදිස්සියල් නිසා දෙන්නෙ
46,85000,Used,Apple,iPhone 12 Pro,256GB,,256 GB,5G,Single SIM,,Triple,,,,,,Iphone 12Pro 256GB | ALL original parts available | Original battery health 74% | Phone only | No cracks or scratches | Negotiation upon inspection | All functions are working perfectly | No bargain hunters | Cash only deal
47,30000,Used,Apple,iPhone 8 Plus,Apple,iOS,64 GB,,Single SIM,,,,,,,,Original display | True tone working | Original battery 100% | Fringeprint working | Brand new condition
48,70000,Used,Apple,iPhone 11 Pro Max,Apple,iOS,256 GB,4G,,,,,,,,,Battery health 73 original | Salli hadissiyak nisa denne
49,150000,Used,Apple,iPhone 14,14,iOS,128 GB,4G,,4 GB,Dual,4 to 5 inches,4000 mAh,,,"Expandable Memory, Bluetooth, Wifi",Price Rs 150000 | iPhone14 | 128 GB Storage | Battery Health 79% | condition 100% | same Amy box
50,75000,Used,Apple,iPhone 11 Pro,apple 11 pro 256GB,iOS,256 GB,4G,Dual SIM,4 GB,Triple,,,,,"Fast Charging, Bluetooth, Wifi, GPS",Phone and same ime box
51,110000,Used,Apple,iPhone 14,apple,iOS,128 GB,5G,Dual SIM,6 GB,Dual,5.1 to 6 inches,4000 mAh,,,"Fast Charging, Flash Charging, Bluetooth, Wifi, GPS, Infrared port",iPhone 14 for sell | No erros no replacement | 128 gb phone | Super cool camera | Salli hadissiyakata denne 110000 lkr | Location gampaha awata | 3u tool have
52,74000,Used,Apple,iPhone 11 Pro,,iOS,256 GB,4G,Single SIM,,Triple,,,,,,🍎 | 11 Pro 256GB | • Iphone 11 pro | • 256 GB | • Same imi box✅💯 | • True tone💯✅ | • Back tap 💯✅ | • orijinalBettry 77 %🔋 | • chees condition🧀💯✅ | • Good Cameras✅💯 | • Original Display ✅💯 | • All parts orijinal✅💯 | • No Ex only cash | • No error 💯✅ | 📥Inbox more details 📥 | 🤙ඕන විදියකට check කරලා බලලා ගන්න පුලුවන්. | ⚠️️Location - මාතර /අකුරැස්සේ | ☎️Contact -
53,84000,Used,Apple,iPhone 12 Pro,256GB,iOS,256 GB,,,,Triple,,,,,"Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Fingerprint Sensor",face lock not work | phone good condition | batry 95% | uk edition
54,103000,Used,Apple,iPhone 13,Apple,iOS,128 GB,VoLTE,Single SIM,,Dual,,,,,,Full set with box | 87% battery health | Brand new contition | No any single scratch
55,45000,Used,Apple,iPhone XR,Apple,iOS,64 GB,4G,Single SIM,,,Above 6 inches,,,,,IPhone XR 64GB ✨ | 🍃 Mint Condition | 🍃 True Tone & Face Id 💯 | 🍃 All Parts Are Original | 🍃 3u Tool 98% (Report Have) | 🍃 Battry Health 83% | 🍃 Can Negotiable | 🍃 With Backcover And Chager (Not Original Chager) | 📌Homagama | ☎️ Call For More Details
56,17000,Used,Apple,iPhone 7 Plus,,iOS,32 GB,4G,Single SIM,,Dual,,,,,,Need to replace battery
57,950000,Used,Apple,iPhone 12 Pro,,iOS,256 GB,5G,Dual SIM,,Triple,,,,,"USB Type-B Port, Fast Charging, Bluetooth, Wifi, GPS",Original battery | 94% Battery health | original display and battery | Face ID 100% working | No Hidden errors | Super battery life | Location Radawana | Good Condition | Not Used Srilanka
58,105000,Used,Apple,iPhone 13 Pro,512GB,iOS,,5G,Dual SIM,4 GB,Triple,,,,,"Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port",iPhone 13 pro 512gb | Top condition | Battery 78% | No any errors | Face id & true tone 100% | Superb Cam | Note:-Display replaced
59,165000,Used,Apple,iPhone 15,,iOS,128 GB,,,,,,,,,,Brand new condition | Battery 89% | No error | Last price   165000/= | Box have
60,170000,Used,Apple,iPhone 14 Pro Max,iPhone 14 Pro Max,iOS,256 GB,,,,,,,,,,iPhone 14 Pro Max | 256GB Capacity | 80% Battery Health | Phone only | Phone is Great | No Errors | All Original Parts | No Replacement | Price negotiable | Phone is perfect
61,38000,Used,Apple,iPhone XR,XR,iOS,128 GB,4G,Dual SIM,3 GB,,Above 6 inches,,,,"Flash Charging, Bluetooth, Wifi, GPS, Fingerprint Sensor",iPhone XR | 128GB | Battery helth 76 | No hide error | Chesse conditions
62,92500,Used,Apple,iPhone 12 Pro,iPhone 12 Pro,iOS,256 GB,4G,Single SIM,6 GB,Triple,Above 6 inches,,,,,I phone 12 pro 256GB | Mint condition 🚨🚨 | 100% Original ✅
63,138000,Used,Apple,iPhone 14,,iOS,128 GB,5G,,,Dual,,,,,,හදිස්සියක් ඉක්මනින් දෙනව | I phone 14 | Batry 90% | All working
