ID,Price,Condition,Brand,Model,Edition,Operating System,Memory,Network,SIM Support,RAM,No. of Camera,Screen Size,Battery,Processor,Item type,Features,Description
874,103000,Used,Apple,iPhone 12 Pro,,iOS,256 GB,5G,Dual SIM,,Triple,,,,,,I phone 12 pro 256GB 😍 | All Original Parts 😍 | Original Battery 😘 | Original Display 😘 | Phone And Cable 👀 | Cash urgent 🚨 | Ex ok Good phone + cash
875,20000,Used,Apple,iPhone 7,Iphone 7,iOS,,4G,,,,,,,,"Bluetooth, Wifi, GPS, Fingerprint Sensor",Battery health 93% | bought from dubai | Brand new condition
876,32000,Used,Apple,iPhone X,64GB,iOS,64 GB,4G,Single SIM,2 GB,Dual,Below 4 inches,4000 mAh,Snapdragon,,"Fast Charging, Expandable Memory, Bluetooth, Wifi, GPS",Phone eka hodatama thiyenawa | Kisima ledak ne
877,98000,Used,Apple,iPhone 13 Pro Max,Sierra Blue,iOS,,,,,,,,,,,iPhone 13 Pro Max | 128GB | Sierra Blue | OLED display changed | Face id 100% | Battery 94%
878,85000,Used,Apple,iPhone 13,,iOS,,,,,,,,,,,Iphone 13 LLA version | ✅Full set box | ✅Original display | ✅Original battery | ✅All parts original | ✅BH 65% | ✅Girl kenek use karapu phone ekak! | Location Ratmalana | අද ගන්නවනම් ගාන වෙනසක් කරලා දෙන්නම්
879,14000,Used,Apple,iPhone 7,,iOS,128 GB,4G,Single SIM,,,,,,,"Bluetooth, Wifi, GPS, Fingerprint Sensor",Iphone 7 | Display replace | Battery 72 | Sim not working (2500 need to fix) | Lowest price
880,28000,Used,Apple,iPhone 8,,iOS,64 GB,4G,Single SIM,2 GB,,4 to 5 inches,,,,"Flash Charging, Bluetooth, Wifi, GPS, Fingerprint Sensor","✨ iPhone 8 64GB - Battery 100% 🔋 | Fingerprint 100% ✅ | Description : | Selling my well-maintained iPhone 8 (64GB) in excellent condition! 📱✨ | Key Highlights: | ✅ Storage: 64GB | ✅ Battery Health: 100% 🔋 (Excellent backup) | ✅ Fingerprint (Touch ID): 100% Working perfectly 🎯 | ✅ Condition: No hidden errors, very smooth performance. | What's included in the package? 🎁 | 🔹 FREE 04 High-quality Back Covers 🛡️ | 🔹 FREE 02 Privacy Tempered Glasses (Protect your screen & privacy) 🕵️‍♂️ | 🔹 Apple USB Charging Cable ⚡ | 📍 Location: Kurunegala | 💰 Price: Rs. 28,000 (Slightly Negotiable) | 📞 Contact for more details: | Don't miss this great deal! Serious buyers only. 🙏"
881,90000,Used,Apple,iPhone 13 Pro,256gb,iOS,256 GB,VoLTE,Dual VoLTE,,Triple,,,,,"USB Type-C Port, Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port",🔥 iPhone 13 Pro – 256GB 🍎📱 | 📍 Available at Apple World Mobile Shop 🛍️💙 | 💾 256GB Storage — Big space for photos & videos 📂✨ | 🔋 Battery Health: 81% ⚡ | 📱 Genuine Display Changed — Clear & smooth performance ✅ | 📸 12MP Pro Camera System — Stunning photos & videos 📷🎥 | ✨ Premium look | Smooth iOS experience | Neat condition 💯 | Limited stock – Grab it fast! 🔥 | 💙 Apple World Mobile Shop – Trusted Deals Always!
882,150000,Used,Apple,iPhone 15,,,,,,,,,,,,,"Selling my iPhone 15 128GB (Black) in excellent condition. | Purchased locally from Idealz Lanka. Carefully used with no dents or scratches. | Details: | •	128GB Storage | •	Battery Health: 86% | •	Colour: Black | •	Condition: Excellent | •       Available with original box | Comes with: | •	Original box | •	Original charging cable | •	2 transparent protective cases | Genuine phone, fully functional. Ideal for personal use."
883,10000,Used,Apple,iPhone 6,Iphone 6,iOS,128 GB,4G,Single SIM,,,,4000 mAh,,,"USB Type-B Port, Fast Charging, Flash Charging, Bluetooth, Wifi, GPS, Fingerprint Sensor",🔥 Brand new condition 🤗 | 🔥128 GB Storage🤩 | 🔥Battry Capacity 100✔️ | 🔥Call me more Details 🏷️ | 🔥 Maravila📍
884,279500,Used,Apple,iPhone 16 Pro Max,256GB,iOS,256 GB,5G,Single SIM,16 GB,,Above 6 inches,6000 mAh,,,,iPhone 16 pro max | 💯Brand new Condition | 💯1 Month Warranty | 💯ZP/A | 💯256Gb | 💯Original Battery 92% | 💯Testing Score 98% | 💯Condition 100% | 💯With full set Box | ( Original Cable ) | i Mobile Store.  Negombo | Hotline | Location!  3c greens road negombo | #apple #BrandNewCondition
885,37000,Used,Apple,iPhone 11,,,,,,,,,,,,,🍎 Apple iPhone 11 – 64GB 🍎 | 📱 iPhone 11 | 💾 64GB Storage | 🔋 Battery Health: 100% Genuine Replacement) | ⌚️📱touch perfect 💯 | 📱Display: Genuine Apple part Replacement | 🔐 Face ID: Issue | 🎨 True Tone: 💯 | 🛠️ All parts genuine | ❌ No hidden errors | 📦 Genuine used unit | 🎨 Color: Red🔴 | ✅ Very neat & fully functional | ✅ Smooth performance | ✅ Ready to use | 💰 Price is slightly negotiable for serious buyers | 📩 Feel free to DM for more details or pictures
886,65000,Used,Apple,iPhone 11 Pro,,,256 GB,4G,Single SIM,,Triple,,,,,,iPhone 11 Pro 256GB | Face ID 100 | Battery 70 | All parts original
887,75000,Used,Apple,iPhone 12 Pro,,iOS,128 GB,,,,,,,,,,Iphone 12 pro | 128 gb | Battery 100 | No errors | Full box | Gampaha Ganemulla | 75000/-
888,19500,Used,Apple,iPhone 8,iPhone,iOS,64 GB,4G,Single SIM,2 GB,Quad,,,Google Tensor,,"Fast Charging, Bluetooth, Wifi, GPS, Fingerprint Sensor",Phone eka siyaluma kotas original phone hodatama tiyanawa
889,202000,Used,Apple,iPhone 15 Pro,256GB,iOS,256 GB,,,,Triple,,,,,"Expandable Memory, Bluetooth, Wifi, GPS",Mint Condition | 256gb | BH 86 | Phone and charger | Brought From apple Asia | Shop warranty Remaining | Call me
890,53000,Used,Apple,iPhone XS Max,iPhone XS Max 256GB,,,,,,,,,,,,"📲iPhone XS Max😍🍎✨ |  256GB 😍🍃 |  Face ID 💯 |  True Tone💯 |  Battery health 85%🔋 |  Unit Only 🍃 |  Condition 🧀😍✨ |  No Errors 💯 | ▫️Exchange Possible (iphone+ cash) | ▫️Price can be negotiated | 💸 53,000/= | 📍Minuwangoda"
891,170000,Used,Apple,iPhone 15,,iOS,128 GB,,,6 GB,,Above 6 inches,4000 mAh,,,"USB Type-C Port, Fast Charging, Bluetooth, Wifi, GPS",In great condition | Selling due to change of mind | Cycle count 50 | Battery 97% | Bought last November | Warranty available
892,84000,Used,Apple,iPhone 12 Pro,Apple,iOS,128 GB,5G,Dual SIM,,Dual,Above 6 inches,,,,"Flash Charging, Bluetooth, Wifi, GPS",Good condition all original no replacements
893,38000,Used,Apple,iPhone X,,iOS,256 GB,4G,Single SIM,4 GB,,Below 4 inches,,,,,original display original Betty health 75
894,26000,Used,Apple,iPhone 7 Plus,256GB,iOS,256 GB,4G,Single SIM,3 GB,Dual,5.1 to 6 inches,,,,"Bluetooth, Wifi, GPS, Fingerprint Sensor","In good condition. Phone, charger and box. 256 GB. | Back cover and tempered included."
895,92500,Used,Apple,iPhone 11 Pro Max,,iOS,256 GB,5G,Dual SIM,,Triple,,4000 mAh,,,,11 pro max | Storage 256gb | Battery 92 | Clean condition | 💯 genuine phone | No any errors | Genuine buyers only | Warranty available
896,170000,Used,Apple,iPhone 15 Pro,Apple,iOS,128 GB,5G,Dual SIM,8 GB,Triple,Above 6 inches,,,,"USB Type-C Port, Fast Charging, Flash Charging, Bluetooth, Wifi, GPS",Iphone 15 Pro Natural titanium  (128GB) | SELL  OR EX ( Samsung s24 Ultra ) 🖤 | Best Condition 💯 | Display Replaced (Unknown Part)✅ | Display විතරයි replace කරලා තියෙන්නේ.💝 | Battery Health = 87% (Original Battery) | Photos වල විදියටම front back condition තියනවා. | Face id & true tone ඔක්කොම වැඩකරනවා 💯🫶 | 3utool බලලා ගන්න පුළුවන් වෙන කිසිම අව්ලක් නෑ හොඳටම තියනවා
897,72500,Used,Apple,iPhone 12,128GB,,,,Dual SIM,,,,,,,"Flash Charging, Bluetooth, Wifi, GPS",Full set with Box not same Imei | 89 btry | Best condition no exchange | Number in my name
898,285000,Brand New,Apple,iPhone 17,,,,,,,,,,,,,🔥 SPECIAL PRICE 🔥 |   IPHONE 17 256GB | * Original Battery | * ⁠Brand New Condition | AVAILABLE | RS :- 285000/= | 📲 Exchange Possible 📲 | 👉 Discount on the next purchase of Apple products 👈 | Call Now More Details | 💯 01 Months Phone To Phone Warranty | 💯 03 Months  Service Warranty | 💯 06 Months software warranty | 💯 Genuine iPhone | 💯 Most trusted place to buy | 🚚 Quick Delivery island wide | 💻📱➡️🌐 Online Purchase :- www.ishop.lk | Payment Method | ✅ Online Payment | ✅ Card Payment | ✅ Cash On Delivery | ✅ Bank Deposit | 🔊 Limited Offer | 🔊 Limited Stock | iShop.lk | #51/1 Galle Road | Colombo - 04.
899,164900,Used,Apple,iPhone 15,,,128 GB,,,,,,,,,,"I Phone 15 | 128GB | ZP/A 🇸🇬 | (Apple Care Warranty Till July 2026) | Pink Colour 🩷 | Conditions- 99.9% ✨️ | Updated To Ios 18.4.1 | Battery Health 98% 🔥 | Charging Times Just 156 | Complete Set Box Available | කොහේවත් ගන්න බැරි සුපිරි Price අපි දෙන්නම් 💯💪 | Top බඩු 😍 | කිසිම බයක් නැතුව ෆෝන් ගන්න නම් ඉතිම් කතාකරන්න අපට | බොරු,වංචා නැති විශ්වාසවන්ත සේවාවක් අපි දෙනවා 👌💕"
900,94000,Used,Apple,iPhone 13,,iOS,128 GB,5G,Dual SIM,,Dual,,,,,,Full set thiyenawa | 128gb storage
901,110000,Used,Apple,iPhone 12 Pro,Apple,iOS,256 GB,5G,Dual SIM,,Triple,,,,,"USB Type-B Port, Fast Charging, Bluetooth, Wifi, GPS",Super battery life | 94% Battery health | original display and battery | face id 100% working | no hidden error | සල්ලි හදිස්යක් නිසා දෙන්නෙ | Contact number (  52) | Location - Radawana | Not used srilanka
902,92000,Used,Apple,iPhone 13,,iOS,,5G,Dual VoLTE,,Dual,,,,,,iphone 13 128gb + Original charger + Original data cable + back cover (Full Set) | battery capacity 85 | Back sticker attached. no scratches | carefully used. | No any repair. | no any issues.
903,135000,Used,Apple,iPhone 14,,,128 GB,5G,,,,,,,,,i phone 14 | Battery health 100% | 2 month used | Urgent sale | Call me for more information
904,65000,Used,Apple,iPhone 12,128GB,iOS,128 GB,5G,Dual SIM,,Dual,,,,,,I phone 12 128Gb | Orginal disply | Condition 95 % | Face id working | Battry orginal replace | Back glass eke eka irak gihin thiye pennewath nh hriyt | ඩිස්ප්ලෙ සීරිලාවත් නෑ ටෙම්පඩ් එකේ ඉරක් ගිහින් තියෙන්නෙ | චෙක් කරලා බලල ගන්න පුලුවන් බැට්ටිය ඇරෙන්න අනිත් ඔක්කොක orginal | Price -65 වෙනසක් කරන්න පුලුවන් අද හෙට ගන්නවනම් | Location - kegalle | No -
905,65000,Used,Apple,iPhone 11,,iOS,,,,,,,,,,,I phone 11 128gb | Battery health 79% | Phone With Box | All are original genuine parts ✅ | Face id ✅ | True tone ✅ | Good Condition | No any errors | No Repair | Girl use Phone
906,119900,Used,Apple,iPhone 13 Pro,128GB Full Set,iOS,,5G,Dual SIM,,Triple,Above 6 inches,,,,"Fast Charging, Bluetooth, Wifi","128GB 119,900 to 123,900 | 256GB 129,900 to 133,900 | 🫡 12 වසරක අසමසම පාරිභොගික විශ්වාසය සමගින් 😍 | බාල ව්‍යාජ දුරකථන වලට රැවටෙන්න එපා | Apple iPhone 13 Pro 128/ 256GB Original Used | Available | Original International Version | Import From Singapore 🇸🇬  Original Used | No any hidden errors | 14 Days Replacement Warranty | 06 Months Software Warranty | Mobile Exchange Are Welcome | Credit Card Payment Accepted | Koko Payments Accepted | 🔺🔺🔺🔺🔺 | ✅Queens Mobiles Kiribathgoda | No 662/10 Eriyawatiya Road,Kiribathgoda | (Near Tilakawardana car park main entrance road) | ✅ Queens Mobiles Pvt Ltd | No 46/2 , Kandy Road , Kiribathgoda | (Near Kiribathgoda Colour Lights and Clock Tower )"
